,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,Scopus_Quartile,HJRS Category,Kmeanslabels,PCA2_labels,PCA3_labels,tSNE2_labels,IF_Quartile,cluster_labels
998,3.9,1.471,1.117,83,1.629,0.00127,Q1,PQ2,W,2,0,2,1,IF_Q4,3
844,2.8,0.926,0.439,61,1.669,0.00345,Q3,PQ3,X,2,0,2,3,IF_Q4,3
882,1.1,0.884,0.399,36,1.672,0.00099,Q3,PQ4,X,2,0,2,3,IF_Q4,3
837,3.1,1.197,0.443,41,1.675,0.00091,Q3,PQ1,X,2,0,2,3,IF_Q4,3
500,2.8,0.769,0.364,59,1.675,0.00206,Q3,PQ2,X,2,0,2,3,IF_Q4,3
282,6.5,1.521,0.719,39,1.675,0.00127,Q2,PQ1,W,2,0,2,1,IF_Q4,3
992,4.1,0.928,0.491,53,1.676,0.00045,Q2,PQ2,X,2,0,2,3,IF_Q4,3
1085,5.2,1.401,0.943,47,1.677,0.00059,Q2,PQ2,W,2,0,2,1,IF_Q4,3
1057,1.8,1.27,0.548,37,1.685,0.00037,Q2,PQ2,X,2,0,2,3,IF_Q4,3
988,4.2,1.309,0.594,50,1.688,0.00044,Q2,PQ1,X,2,0,2,1,IF_Q4,3
799,4.1,1.907,0.884,77,1.691,0.00092,Q2,PQ1,W,2,0,2,1,IF_Q4,3
971,5.2,1.996,0.801,70,1.692,0.00021,Q1,PQ1,W,2,0,1,1,IF_Q4,3
996,4.0,1.145,0.426,28,1.694,0.00059,Q3,PQ2,X,2,0,2,3,IF_Q4,3
573,2.0,0.676,0.458,94,1.695,0.00215,Q3,PQ3,X,2,0,2,1,IF_Q4,3
1025,2.9,0.806,0.332,29,1.713,0.00023,Q3,PQ2,X,2,0,2,3,IF_Q4,3
1094,3.7,1.488,1.026,70,1.714,0.0006,Q2,PQ3,W,2,0,2,1,IF_Q4,3
408,4.1,0.87,0.549,51,1.714,0.00386,Q2,PQ2,X,2,0,2,3,IF_Q4,3
499,2.8,0.67,0.338,57,1.717,0.00056,Q3,PQ2,X,2,0,2,3,IF_Q3,3
518,2.6,0.853,0.767,36,1.721,0.00093,Q2,PQ2,X,2,0,2,3,IF_Q3,3
461,3.4,0.79,0.442,40,1.734,0.00175,Q2,PQ2,X,2,0,2,3,IF_Q3,3
838,3.1,1.308,0.646,35,1.734,0.00065,Q2,PQ1,X,2,0,2,3,IF_Q3,3
832,3.3,1.015,0.454,43,1.741,0.00177,Q3,PQ1,X,2,0,2,3,IF_Q3,3
462,3.4,1.065,0.519,51,1.75,0.00317,Q2,PQ2,X,2,0,2,1,IF_Q3,3
1028,2.8,0.925,0.489,90,1.759,0.0015,Q3,PQ3,X,2,0,2,1,IF_Q3,3
853,2.6,1.199,0.976,10,1.761,0.00089,Q2,PQ1,X,2,0,2,3,IF_Q3,3
1017,3.1,0.88,0.561,67,1.762,0.00209,Q2,PQ2,W,2,0,2,3,IF_Q3,3
379,4.5,0.905,0.358,40,1.768,0.0008,Q3,PQ2,X,2,0,2,3,IF_Q3,3
805,4.0,0.828,0.536,49,1.773,0.00431,Q2,PQ2,X,2,0,2,3,IF_Q3,3
432,3.8,1.457,0.625,8,1.778,0.00026,Q2,PQ2,X,2,0,2,3,IF_Q3,3
1021,3.0,0.738,0.404,24,1.79,0.0005,Q2,PQ2,X,2,0,2,3,IF_Q3,3
1089,4.8,1.19,0.618,45,1.813,0.00095,Q2,PQ2,X,2,0,2,1,IF_Q3,3
1091,4.4,0.759,0.434,44,1.819,0.00189,Q3,PQ2,X,2,0,2,3,IF_Q3,3
1008,3.7,0.823,0.507,26,1.826,0.00044,Q2,PQ2,X,2,0,2,3,IF_Q3,3
264,6.8,1.147,0.559,30,1.828,0.00065,Q2,PQ1,X,2,0,2,1,IF_Q3,3
453,3.6,1.167,0.519,57,1.841,0.00082,Q3,PQ1,X,2,0,2,1,IF_Q3,3
821,3.6,1.075,0.895,117,1.847,0.0036,Q2,PQ2,W,2,0,2,2,IF_Q3,3
488,3.0,1.115,0.567,58,1.854,0.00056,Q2,PQ2,X,2,0,2,1,IF_Q3,3
515,2.7,1.364,1.035,58,1.856,0.00202,Q1,PQ2,W,2,0,2,1,IF_Q3,3
405,4.1,1.036,0.563,41,1.859,0.00048,Q2,PQ2,X,2,0,2,3,IF_Q3,3
506,2.8,2.024,0.93,103,1.86,0.00602,Q2,PQ1,W,2,0,1,2,IF_Q3,3
549,2.3,0.842,0.495,37,1.863,0.00166,Q2,PQ3,X,2,0,2,3,IF_Q3,3
367,4.7,1.347,0.656,58,1.865,0.0004,Q2,PQ1,X,2,0,2,1,IF_Q3,3
460,3.5,1.095,0.546,15,1.866,0.00045,Q2,PQ2,X,2,0,2,3,IF_Q3,3
349,5.2,1.603,1.283,66,1.871,0.00358,Q1,PQ2,W,2,0,1,1,IF_Q3,3
435,3.8,0.98,0.587,51,1.871,0.00156,Q2,PQ2,X,2,0,2,1,IF_Q3,3
841,2.9,0.699,0.316,28,1.877,0.0014,Q3,PQ2,X,2,0,2,3,IF_Q3,3
443,3.7,0.762,0.517,52,1.882,0.00346,Q2,PQ2,X,2,0,2,3,IF_Q3,3
295,6.2,1.288,0.622,35,1.887,0.00193,Q2,PQ2,W,2,0,2,1,IF_Q3,3
995,4.0,1.344,0.537,28,1.902,0.00037,Q2,PQ1,X,2,0,2,3,IF_Q3,3
419,3.9,0.98,0.686,95,1.909,0.00211,Q2,PQ2,W,2,0,2,1,IF_Q3,3
444,3.7,0.664,0.629,31,1.914,0.00036,Q2,PQ2,X,2,0,2,3,IF_Q3,3
1009,3.6,1.048,0.535,44,1.935,0.00103,Q2,PQ1,X,2,0,2,3,IF_Q3,3
426,3.8,1.382,1.23,47,1.937,0.00105,Q1,PQ2,W,2,0,2,1,IF_Q3,3
394,4.2,0.739,0.502,58,1.938,0.00352,Q2,PQ1,X,2,0,2,3,IF_Q3,3
831,3.3,1.64,0.852,32,1.944,0.00161,Q2,PQ1,W,2,0,2,1,IF_Q3,3
1095,3.6,0.805,0.463,60,1.965,0.00661,Q3,PQ2,X,2,0,2,3,IF_Q3,3
467,3.3,1.075,0.734,50,1.968,0.00409,Q2,PQ2,W,2,0,2,1,IF_Q3,3
458,3.5,0.838,0.535,40,1.987,0.00344,Q2,PQ2,X,2,0,2,3,IF_Q3,3
808,4.0,1.535,0.962,89,1.996,0.00483,Q2,PQ1,W,2,0,2,1,IF_Q3,3
429,3.8,1.044,0.491,32,2.006,0.00109,Q3,PQ1,X,2,0,2,3,IF_Q3,3
1011,3.4,0.884,0.53,40,2.013,0.00104,Q2,PQ2,X,2,0,2,3,IF_Q3,3
278,6.6,1.135,0.681,64,2.016,0.00042,Q2,PQ1,X,2,0,2,1,IF_Q3,3
829,3.5,0.873,0.481,65,2.017,0.00852,Q3,PQ2,X,2,0,2,3,IF_Q3,3
382,4.4,0.743,0.452,41,2.03,0.00138,Q3,PQ1,X,2,0,2,3,IF_Q3,3
833,3.2,0.558,0.572,32,2.031,0.00084,Q2,PQ2,X,2,0,2,3,IF_Q3,3
401,4.2,1.147,0.693,53,2.034,0.00056,Q2,PQ2,X,2,0,2,1,IF_Q3,3
1020,3.1,1.557,0.632,67,2.034,0.00179,Q2,PQ1,W,2,0,2,1,IF_Q3,3
824,3.5,1.013,0.736,67,2.057,0.00221,Q2,PQ2,W,2,0,2,1,IF_Q3,3
981,4.5,1.266,0.46,31,2.072,0.00054,Q3,PQ2,X,2,0,2,1,IF_Q3,3
765,4.8,1.153,0.928,119,2.102,0.00764,Q2,PQ2,W,2,0,1,2,IF_Q3,3
987,4.2,1.28,0.594,32,2.109,0.00149,Q2,PQ1,X,2,0,2,1,IF_Q3,3
985,4.4,0.908,0.716,36,2.118,0.00076,Q2,PQ2,X,2,0,2,1,IF_Q3,3
1010,3.5,0.766,0.463,66,2.121,0.01143,Q2,PQ1,W,2,0,2,3,IF_Q3,3
446,3.7,1.661,0.879,64,2.13,0.00146,Q2,PQ2,W,2,0,2,1,IF_Q3,3
411,4.0,1.004,0.638,53,2.142,0.00106,Q2,PQ1,X,2,0,2,1,IF_Q3,3
442,3.7,0.981,0.552,49,2.157,0.00086,Q2,PQ1,X,2,0,2,1,IF_Q3,3
496,2.9,0.625,0.344,71,2.172,0.00446,Q3,PQ2,X,2,0,2,3,IF_Q3,3
785,4.3,1.465,0.58,49,2.174,0.00066,Q2,PQ2,W,2,0,2,1,IF_Q3,3
834,3.2,0.917,0.539,49,2.177,0.00098,Q2,PQ2,X,2,0,2,3,IF_Q3,3
979,4.7,2.078,0.889,51,2.18,0.00162,Q2,PQ1,W,2,0,2,1,IF_Q3,3
373,4.5,0.876,0.563,36,2.198,0.00057,Q2,PQ2,X,2,0,2,1,IF_Q3,3
523,2.6,1.476,0.644,67,2.205,0.00135,Q2,PQ3,W,2,0,2,1,IF_Q3,3
1084,6.0,1.744,0.833,52,2.211,0.00137,Q2,PQ1,W,2,0,2,1,IF_Q3,3
823,3.6,2.229,1.804,81,2.215,0.00617,Q1,PQ1,W,0,2,1,2,IF_Q3,1
341,5.3,0.928,0.645,43,2.237,0.00043,Q2,PQ1,X,2,0,2,1,IF_Q3,3
421,3.9,0.922,0.589,67,2.247,0.00082,Q2,PQ2,X,2,0,2,1,IF_Q3,3
818,3.7,1.038,0.569,51,2.249,0.00556,Q2,PQ2,W,2,0,2,1,IF_Q3,3
1015,3.4,0.915,0.492,45,2.259,0.00172,Q2,PQ2,X,2,0,2,3,IF_Q3,3
271,6.7,2.853,2.808,131,2.269,0.00472,Q1,PQ1,W,0,2,1,0,IF_Q3,1
950,6.8,2.047,1.063,59,2.275,0.00062,Q1,PQ1,W,2,0,1,2,IF_Q3,3
991,4.2,1.008,0.523,36,2.293,0.00189,Q2,PQ2,X,2,0,2,1,IF_Q3,3
398,4.2,0.988,0.627,53,2.3,0.00104,Q2,PQ2,X,2,0,2,1,IF_Q3,3
363,4.8,1.03,0.707,58,2.307,0.00174,Q2,PQ2,X,2,0,2,1,IF_Q3,3
1032,2.8,1.112,1.183,36,2.308,0.00115,Q1,PQ2,W,2,0,2,1,IF_Q3,3
425,3.9,1.639,1.125,77,2.324,0.00883,Q1,PQ1,W,2,0,1,1,IF_Q3,3
1007,3.7,0.602,0.39,59,2.346,0.00313,Q3,PQ2,X,2,0,2,3,IF_Q3,3
767,4.6,1.044,0.585,28,2.347,0.00063,Q2,PQ1,X,2,0,2,1,IF_Q3,3
813,3.9,0.722,0.48,52,2.352,0.00108,Q3,PQ2,X,2,0,2,3,IF_Q3,3
448,3.7,0.926,0.409,43,2.352,0.00155,Q2,PQ1,X,2,0,2,3,IF_Q3,3
794,4.1,1.157,0.41,65,2.357,0.00047,Q3,PQ1,X,2,0,2,1,IF_Q3,3
333,5.4,1.29,1.668,121,2.363,0.01745,Q1,PQ1,W,0,2,1,2,IF_Q3,1
828,3.5,0.963,0.45,52,2.378,0.00165,Q3,PQ2,X,2,0,2,1,IF_Q3,3
967,5.7,1.478,0.651,45,2.399,0.0016,Q2,PQ1,W,2,0,2,1,IF_Q3,3
778,4.4,1.143,0.59,67,2.406,0.00214,Q2,PQ1,W,2,0,2,1,IF_Q3,3
797,4.1,1.284,1.005,117,2.408,0.0082,Q1,PQ1,W,2,0,1,2,IF_Q3,3
1045,2.2,1.304,0.612,28,2.411,0.00436,Q2,PQ2,W,2,0,2,3,IF_Q3,3
